"No.","Time","Source","Destination","Protocol","Length","Info"
"203","5.461175","128.119.245.12","192.168.1.102","TCP","784","80 > 1161 [PSH, ACK] Seq=1 Ack=164091 Win=62780 Len=730"
"204","5.598090","192.168.1.100","192.168.1.1","UDP","174","Source port: 44265  Destination port: 1900"
"205","5.599082","192.168.1.100","192.168.1.1","UDP","175","Source port: 44265  Destination port: 1900"
"206","5.651141","192.168.1.102","128.119.245.12","TCP","54","1161 > 80 [ACK] Seq=164091 Ack=731 Win=16790 Len=0"
"207","6.101044","192.168.1.100","192.168.1.1","UDP","174","Source port: 44265  Destination port: 1900"
"208","6.102069","192.168.1.100","192.168.1.1","UDP","175","Source port: 44265  Destination port: 1900"
"209","6.600152","192.168.1.100","192.168.1.1","UDP","174","Source port: 44265  Destination port: 1900"
"210","6.601063","192.168.1.100","192.168.1.1","UDP","175","Source port: 44265  Destination port: 1900"
"211","7.102852","192.168.1.100","192.168.1.1","UDP","174","Source port: 44265  Destination port: 1900"
"212","7.103780","192.168.1.100","192.168.1.1","UDP","175","Source port: 44265  Destination port: 1900"
"213","7.595557","192.168.1.102","199.2.53.206","TCP","62","1162 > 631 [SYN] Seq=0 Win=16384 Len=0 MSS=1460 SACK_PERM=1"
